Size: 200 | Time: 0.229931 ms | Tile: 8
Size: 200 | Time: 0.129547 ms | Tile: 16
Size: 200 | Time: 0.121227 ms | Tile: 32
Size: 400 | Time: 0.191253 ms | Tile: 8
Size: 400 | Time: 0.180384 ms | Tile: 16
Size: 400 | Time: 0.255168 ms | Tile: 32
Size: 800 | Time: 1.94212 ms | Tile: 8
Size: 800 | Time: 1.1119 ms | Tile: 16
Size: 800 | Time: 1.3615 ms | Tile: 32
Size: 1200 | Time: 6.14182 ms | Tile: 8
Size: 1200 | Time: 5.74917 ms | Tile: 16
Size: 1200 | Time: 4.31454 ms | Tile: 32
Size: 1600 | Time: 21.4934 ms | Tile: 8
Size: 1600 | Time: 13.8371 ms | Tile: 16
Size: 1600 | Time: 24.0928 ms | Tile: 32
Size: 2000 | Time: 38.4803 ms | Tile: 8
Size: 2000 | Time: 19.7083 ms | Tile: 16
Size: 2000 | Time: 41.856 ms | Tile: 32
